Station Name,Full Address,Locality/City/State
JW Marriott Hotel - UB City,"24, Vittal Mallya Rd","Bengaluru, Karnataka"
MB Sundaram Motors Kasturba Road,107 Kasturba Road,"Bengaluru, Karnataka"
Sunfuel - Bangalore Club,"No.10, Residency Rd, Shanthala Nagar","Bengaluru, Karnataka"
GLIDA Audi Bengaluru,No 1 2,"Bengaluru, Karnataka"
Statiq ITC Gardenia Station,"Near Basement Exit, ITC Gardenia, 1, Residency Rd, Ashok Nagar","Bengaluru, Karnataka"
Yeswanthpur ElectricPe Mobility Centre,"No 878 2, no 752.21, Pipe line road, Yeswanthpur","Bengaluru, Karnataka 560022"
Yelahanka ElectricPe Mobility Centre,"358, 6th Cross Rd, Yelahanka 5th Phase, Yelahanka Town","Bengaluru, Karnataka 560064"
Kudlu ElectricPe Mobility Centre,"Near Urban Nest pro, Manjunatha Nagar, Sai Sree Layout, Parappana Agrahara","Bengaluru, Karnataka 560068"
Kalyan Nagar ElectricPe Mobility Centre,"100 feet Ring Road, Annaiya Reddy Layout, Dodda Banaswadi Main Rd, opp. Global Boutique","Bengaluru, Karnataka 560043"
Kadubeesanahalli ElectricPe Mobility Centre,"20 5, Outer Ring Rd, Kaverappa Layout, Kadubeesanahalli, Panathur","Bengaluru, Karnataka 560103"
Bommanahalli ElectricPe Mobility Centre,"Warehouse No.4 10, Bommanahalli, Hosur Main Road","Bengaluru, Karnataka 560068"
C V Raman Nagar ElectricPe Mobility Centre,"281, Nagavarapalya, C V Raman Nagar","Bengaluru, Karnataka 560093"
Bannerghatta ElectricPe Mobility Centre,"9 1A Arakere, Arakere main road, Bannerghatta Rd","Bengaluru, Karnataka 560076"
Sunfuel - Bangalore Golf Club,,"Bengaluru, Karnataka"
Sunfuel Test Station 1,,"Bengaluru, Karnataka"
Monk Mansion Charging Station,,"Bengaluru, Karnataka"
Nexus Koramangala Charging Station,,"Bengaluru, Karnataka"
Trifecta Adatto Charging Station,,"Bengaluru, Karnataka"
Divyasree NR Enclave Charging Station,,"Bengaluru, Karnataka"
Divyasree Greens Charging Station,,"Bengaluru, Karnataka"
More Store Hosur Road Charging Station,,"Bengaluru, Karnataka"
Nexus Whitefield Charging Station,,"Bengaluru, Karnataka"
DoubleTree Suites by Hilton Bangalore ORR Charging,,"Bengaluru, Karnataka"
Taj Bengaluru Charging Station,,"Bengaluru, Karnataka"
Nexus Shantiniketan Charging Station,,"Bengaluru, Karnataka"
