Station Name,Full Address,Locality/City/State,Network,Availability
JW Marriott Hotel - UB City,"24, Vittal Mallya Rd","Bengaluru, Karnataka",Statiq,Open Now
MB Sundaram Motors Kasturba Road,107 Kasturba Road,"Bengaluru, Karnataka",Statiq,Open Now
Bangalore Club,"No.10, Residency Rd, Shanthala Nagar","Bengaluru, Karnataka",Sunfuel,Unavailable
GLIDA Audi Bengaluru,"No 1 2, Rajajinagar","Bengaluru, Karnataka",Statiq,Open Now
ITC Gardenia Station,"Near Basement Exit, ITC Gardenia, 1, Residency Rd, Ashok Nagar","Bengaluru, Karnataka",Statiq,Open Now
Sunfuel - Bangalore Golf Club,Not Specified,"Bengaluru, Karnataka",Sunfuel,Not Specified
Sunfuel Test Station 1,Not Specified,"Bengaluru, Karnataka",Sunfuel,Not Specified
Monk Mansion Charging Station,Not Specified,"Bengaluru, Karnataka",Statiq,Not Specified
Nexus Koramangala Charging Station,Not Specified,"Bengaluru, Karnataka",Statiq,Not Specified
Trifecta Adatto Charging Station,Not Specified,"Bengaluru, Karnataka",Statiq,Not Specified
Divyasree NR Enclave Charging Station,Not Specified,"Bengaluru, Karnataka",Statiq,Not Specified
Divyasree Greens Charging Station,Not Specified,"Bengaluru, Karnataka",Statiq,Not Specified
More Store Hosur Road Charging Station,Hosur Road,"Bengaluru, Karnataka",Statiq,Not Specified
Nexus Whitefield Charging Station,Whitefield,"Bengaluru, Karnataka",Statiq,Not Specified
DoubleTree Suites by Hilton Bangalore ORR Charging,ORR,"Bengaluru, Karnataka",Statiq,Not Specified
Taj Bengaluru Charging Station,Not Specified,"Bengaluru, Karnataka",Statiq,Not Specified
Nexus Shantiniketan Charging Station,Shantiniketan,"Bengaluru, Karnataka",Statiq,Not Specified
RMZ Eco World Infrastructure Charging Station,Not Specified,"Bengaluru, Karnataka",Statiq,Not Specified
B-7 DivyaSree LitBox Charging Station,DivyaSree LitBox,"Bengaluru, Karnataka",Statiq,Not Specified
Siri Motors Charging Station,Not Specified,"Bengaluru, Karnataka",Statiq,Not Specified
 Conrad Bengaluru,"25/3, Kensington Rd, Someshwarpura, Ulsoor","Bengaluru, Karnataka",Statiq,Not Specified
G Suresh,"Gangappanahalli,Cholanayakanahalli(p), Tavarekere(H), Near Magadi main road","Bangalore South, Karnataka",ElectricPe,Not Specified
S L V TYRE PUNCHERS SHOP,"34 1, doddaalladamara road, Ramohalli,kengeri hobi","Bengaluru, Karnataka",ElectricPe,Not Specified
SUBHA,"SUBHA-9 SKY VUE, 89 3 and 90 1, Byagadadhenahalli Village, Chandapura Anekal Road, Kasaba Hobli, Anekal, Taluk","Bengaluru, Karnataka",ElectricPe,Not Specified
Srinivas L R,"Dodda Byalakere, Hessaraghatta Hobli, Shivakote, Post","Bengaluru, Karnataka",ElectricPe,Not Specified
