Station Name,Full Address,Locality/City/State,Operator
JW Marriott Hotel - UB City,"24, Vittal Mallya Rd","Bengaluru, Karnataka",Statiq
MB Sundaram Motors Kasturba Road,107 Kasturba Road,"Bengaluru, Karnataka",Statiq
Sunfuel - Bangalore Club,"No.10, Residency Rd, Shanthala Nagar","Bengaluru, Karnataka",Statiq/Sunfuel
GLIDA Audi Bengaluru,"No 1 2, Hosur Rd","Bengaluru, Karnataka",Statiq
Statiq ITC Gardenia Station,"Near Basement Exit, ITC Gardenia, 1, Residency Rd, Ashok Nagar","Bengaluru, Karnataka",Statiq
Sunfuel - Bangalore Golf Club,Not available in scraped data,"Bengaluru, Karnataka",Sunfuel
Sunfuel Test Station 1,Not available in scraped data,"Bengaluru, Karnataka",Sunfuel
Monk Mansion Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
Nexus Koramangala Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
Trifecta Adatto Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
Divyasree NR Enclave Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
Divyasree Greens Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
More Store Hosur Road Charging Station,Hosur Road,"Bengaluru, Karnataka",Statiq
Nexus Whitefield Charging Station,Whitefield,"Bengaluru, Karnataka",Statiq
DoubleTree Suites by Hilton Bangalore ORR,Outer Ring Road,"Bengaluru, Karnataka",Statiq
Taj Bengaluru Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
Nexus Shantiniketan Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
RMZ Eco World Infrastructure Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
B-7 DivyaSree LitBox Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
Siri Motors Charging Station,Not available in scraped data,"Bengaluru, Karnataka",Statiq
Conrad Bengaluru,Not available in scraped data,"Bengaluru, Karnataka",Statiq
G Suresh,"Gangappanahalli,Cholanayakanahalli(p), Tavarekere(H), Near Magadi main road","Bangalore South, Karnataka",ElectricPe
S L V TYRE PUNCHERS SHOP,"34 1, doddaalladamara road, Ramohalli,kengeri hobi","Bengaluru, Karnataka",ElectricPe
SUBHA 9 SKY VIEW,"SUBHA-9 SKY VUE, 89 3 and 90 1, Byagadadhenahalli Village, Chandapura Anekal Road, Kasaba Hobli, Anekal, Taluk","Bengaluru, Karnataka",ElectricPe
Srinivas L R,"Dodda Byalakere, Hessaraghatta Hobli, Shivakote, Post","Bengaluru, Karnataka",ElectricPe
