Model Name,Brand,CPU,RAM,Storage,Price (INR),Sales Rank (Estimated)
Thomson NEO Core Series,Thomson,Intel Core 12th 1235U,Unknown,512,24999,1
WarnerCann Hi5 pro,WarnerCann,Intel Core 12th,Unknown,256 Wind...,29800,2
WINGS Nuvobook V1 Aluminium Alloy Metal Body,WINGS,Intel Core,Unknown,Unknown,31990,3
Avita Liber E,Avita,Intel Core 12th 1235U,Unknown,Unknown,31990,4
Acer One,Acer,Intel Core 11th 1115G4,Unknown,Unknown,19990,5
Thomson NEO Core Series,Thomson,Intel Core 12th 1215U,Unknown,Unknown,22499,6
Avita Liber E,Avita,Intel Core 12th 1215U,Unknown,Unknown,24989,7
Avita E Series,Avita,Intel Core 12th 1215U,Unknown,Unknown,24989,8
Acer Aspire 3,Acer,Intel Core 12th 1215U,Unknown,Unknown,24990,9
HP 15s,HP,Intel Core 12th 1215U,Unknown,Unknown,24999,10
Acer Aspire 7,Acer,Intel Core 12th 12450H,Unknown,Unknown,39999,11
HP Victus gaming,HP,AMD Ryzen 5 Hexa Core 5600H,Unknown,Unknown,45990,12
MSI Thin A15,MSI,AMD Ryzen 5 Hexa Core 7535HS,Unknown,Unknown,47990,13
Asus Vivobook E1504GA-NJ3322WS,Asus,Core 12th,DDR4,Unknown,30990,14
Victus 15-fb3025AX (B83U0PA),HP,AMD Octa Core Ryzen,DDR5,Unknown,98990,15
Asus TUF Gaming F16 FX607VB-RL076WS,Asus,Core Series 2,DDR4,Unknown,68990,16
Asus VivoBook 14 E1404FA-NK5542WS,Asus,AMD Quad Core Ryzen,LPDDR5,Unknown,37990,17
Venture A1MG-005IN,Venture,Core Ultra,DDR4,Unknown,69990,18
Victus 15-FA2701TX (B7GP5PA),HP,Core 13th,DDR4,Unknown,72900,19
VenturePro A1VEG-008IN,Venture,Core Ultra,DDR5,Unknown,109990,20
PrestigePro B2HVEG-253IN,PrestigePro,Core Ultra Series 2,32 LPDDR5,Unknown,169990,21
Lenovo Yoga 14AHP9 (83DK009LIN),Lenovo,AMD Octa Core Ryzen,LPDDR5X,Unknown,91990,22
Asus Vivobook 16X K3605VC-RP413WS,Asus,Core 13th,DDR4,Unknown,56999,23
Asus Vivobook S15 K5504VAB-BN416WS,Asus,Core 13th,LPDDR5,Unknown,62783,24
Acer Aspire A311-45 (UN.354SI.004),Acer,Intel Celeron Dual Core,DDR4,256,15990,25
Asus ROG Strix G16 G614JV-N4242WS,Asus,Core 13th,DDR5,Unknown,150636,26
Acer Aspire A311-45 (UN.354SI.002),Acer,Intel Celeron Dual Core,DDR4,Unknown,17990,27
Acer Aspire A311-45 (UN.354SI.006),Acer,Celeron Dual Core,DDR4,128,13990,28
Asus VivoBook X1605VA-MB5555WS,Asus,Core 13th,DDR4,Unknown,59999,29
Asus VivoBook X1504VA-NJ2218WS,Asus,Core 13th,DDR4,Unknown,45985,30
Lenovo LOQ 15ARP9 (83JC00GDIN),Lenovo,AMD Octa Core Ryzen,24 DDR5,Unknown,68990,31
Modern 14 C12MO-1022IN,MSI,Core 12th,DDR4,Unknown,32500,32
Apple MacBook Air M4 MW1K3HN/A,Apple,Apple M4,Unified Memory,Unknown,138490,33
Asus VivoBook X1504VA-NJ2324WS,Asus,Core 13th,DDR4,Unknown,35760,34
HP Imprint Core 6th,HP,Core 6th,Unknown,Unknown,50000,35
Acer Aspire 3 Celeron Dual Core,Acer,Celeron Dual Core,Unknown,Unknown,50000,36
Dell Inspiron Core 6th,Dell,Core 6th,Unknown,Unknown,50000,37
Acer Predator Helios 300 Core i7 7th Gen,Acer,Core i7 7th Gen,Unknown,Unknown,70000,38
MSI CX Core i7 7th Gen,MSI,Core i7 7th Gen,Unknown,Unknown,70000,39
Lenovo Legion Core i7 7th,Lenovo,Core i7 7th,Unknown,Unknown,70000,40
HP 15 Core 6th Notebook,HP,Core 6th,Unknown,Unknown,60000,41
Lenovo Core 7th Notebook,Lenovo,Core 7th,Unknown,Unknown,70000,42
Dell Inspiron 7000 core Notebook,Dell,core,Unknown,Unknown,70000,43
Apple MacBook Air Core 5th,Apple,Core 5th,Unknown,Unknown,70000,44
HP Pentium quad-core notebook,HP,Pentium quad-core,Unknown,Unknown,40000,45
