Model Name,Brand,CPU,RAM,Storage,Price (INR),Sales Rank (Flipkart)
ASUS Vivobook 15 (2025) (i5...,ASUS,Intel Core Processor,DDR4,Unspecified,43990,1
Lenovo 100e Chromebook ...,Lenovo,MediaTek MediaTek Kompanio 528,LPDDR4X,64 EMMC,9999,2
ASUS Vivobook 14 (2025) wit...,ASUS,Intel Core Processor (13th Gen),DDR4,Unspecified,31990,3
ASUS Expertbook P1 Intel Co...,ASUS,Intel Core Processor (13th Gen),DDR5,Unspecified,33990,4
Samsung Galaxy Book5 AI Met...,Samsung,Intel Core Ultra Processor,LPDDR5X,Unspecified,87990,5
Chromebook Intel Celeron...,HP,Intel Celeron Dual Core Processor,LPDDR4,4 EMMC,22990,1
(2024) Ryzen Qu...,HP,Ryzen Quad Core Processor,DDR4,Unspecified,29300,2
(2025) Athlon Dua...,HP,Athlon Dual Core Processor,DDR4,256,24990,3
Metal Cover Intel Core...,HP,Intel Core Processor (13th Gen),DDR4,Unspecified,34990,4
14 AI PC Intel Core Ultr...,HP,Intel Core Ultra Processor,DDR5,350 SSD,69990,5
Thomson NEO Core Series,Thomson,Intel Core 12th 1235U,Unspecified,512,24999,
WarnerCann Hi5 pro,WarnerCann,Intel Core 12th,Unspecified,256,29800,
WINGS Nuvobook V1,WINGS,Intel Core,Unspecified,Unspecified,31990,
Avita Liber E,Avita,Intel Core 12th 1235U,Unspecified,Unspecified,31990,
Acer One,Acer,Intel Core 11th 1115G4,Unspecified,Unspecified,19990,
Thomson NEO Core Series,Thomson,Intel Core 12th 1215U,Unspecified,Unspecified,22499,
Avita Liber E,Avita,Intel Core 12th 1215U,Unspecified,Unspecified,24989,
Avita E Series,Avita,Intel Core 12th 1215U,Unspecified,Unspecified,24989,
Acer Aspire 3,Acer,Intel Core 12th 1215U,Unspecified,Unspecified,24990,
HP 15s,HP,Intel Core 12th 1215U,Unspecified,Unspecified,24999,
Acer Aspire 7,Acer,Intel Core 12th 12450H,Unspecified,Unspecified,39999,
Acer Aspire 7,Acer,Intel Core 12th 12450H,Unspecified,Unspecified,44990,
Acer Aspire 7,Acer,Intel Core 13th 13420H,Unspecified,Unspecified,44990,
HP Victus gaming,HP,AMD Ryzen 5 Hexa Core 5600H,Unspecified,Unspecified,45990,
MSI Thin A15,MSI,AMD Ryzen 5 Hexa Core 7535HS,Unspecified,Unspecified,47990,
(2025) Athlon Dual Core 7120U,HP,Athlon Dual Core Processor,DDR4,256,25790,
Athlon Dual Core 7120U,HP,Athlon Dual Core Processor,LPDDR5,256,23950,
Intel Core i7 13th 13620H,HP,Intel Core i7 Processor (13th Gen),DDR4,Unspecified,64990,
G9 Intel Core 13th 1315U,HP,Intel Core Processor (13th Gen),DDR4,Unspecified,34490,
(2025) Ryzen Quad Core 7320U,HP,Ryzen Quad Core Processor,LPDDR5,Unspecified,32750,
(2025) Ryzen Quad Core 7320U,HP,Ryzen Quad Core Processor,DDR4,Unspecified,29490,
Victus Intel Core i5 13th 13420H,HP,Intel Core i5 Processor (13th Gen),DDR4,Unspecified,69990,
Victus Ryzen Hexa Core 7445HS,HP,Ryzen Hexa Core Processor,DDR5,Unspecified,58990,
Victus Ryzen Octa Core 260,HP,Ryzen Octa Core Processor,DDR5,24 TB,98990,
(2024) Ryzen Quad Core 7320U,HP,Ryzen Quad Core Processor,DDR4,Unspecified,29300,
MSO 2024 Intel Core 13th 1315U,HP,Intel Core Processor (13th Gen),DDR4,Unspecified,38990,
Ryzen Quad Core 7520U,HP,Ryzen Quad Core Processor,DDR4,Unspecified,32400,
OmniBook Aero,HP,Ryzen AI Octa Core Processor,LPDDR5X,AI 350 SSD,75990,
14 AI PC Intel Core Ultra 155H,HP,Intel Core Ultra Processor,DDR5,Unspecified,69990,
Ryzen Quad Core 7320U,HP,Ryzen Quad Core Processor,DDR4,Unspecified,30999,
Chromebook Intel Celeron Dual Core N4500,HP,Intel Celeron Dual Core Processor,LPDDR4,4 EMMC,22990,
Victus Ryzen Hexa Core 7445HS,HP,Ryzen Hexa Core Processor,DDR5,Unspecified,79990,
15s Intel Core i7 12th 1255U,HP,Intel Core i7 Processor (12th Gen),DDR4,Unspecified,62990,
Victus Intel Core i5 14th 14450HX,HP,Intel Core i5 Processor (14th Gen),DDR5,Unspecified,81990,
15R (2025) Intel Core 13th 1315U,HP,Intel Core Processor (13th Gen),DDR4,Unspecified,34990,
