Model Name,Brand,CPU,RAM,Storage,Current Price (INR),Sales Rank (Estimated)
Lenovo IdeaPad Slim 83K100CJIN,Lenovo,13th Intel Core 13620H,16GB,512GB,61990,1
Huawei MateBook Fold,Huawei,Kirin X90,32GB,2TB,319930,2
Asus Vivobook S3407CA-LY084WS,Asus,Intel Core Ultra 255H,16GB,512GB,79990,3
HP 15s-fq5327TU,HP,12th Intel Core 1215U,8GB,512GB,24999,4
Acer Aspire A715-76G UN.QMYSI.002,Acer,12th Intel Core 12450H,16GB,512GB,39999,5
Acer Nitro V ANV16-71 NH.QTNSI.003,Acer,14th Intel Core 14450HX,16GB,512GB,84990,6
Acer Nitro V ANV15-41 UN.QPFSI.002,Acer,AMD Ryzen 7535HS,16GB,512GB,49999,7
Acer One Z8-415,Acer,11th Intel Core 1115G4,8GB,512GB,19990,8
Samsung Galaxy Book NP750XGJ-LG4IN,Samsung,13th Intel Core i3-1315U,8GB,512GB,34990,9
Acer Aspire Lite AL15-52H,Acer,12th Intel Core 12450H,16GB,512GB,35091,10
HP 15-fd0467TU,HP,13th Intel Core 1334U,16GB,512GB,49050,11
Apple MacBook Air 2025,Apple,Apple M4,16GB,256GB,85990,12
Asus TUF Gaming A15 FA566NCR-HN117W,Asus,AMD Ryzen 7435HS,16GB,1TB,66990,13
HP Victus 15-fb3012AX,HP,AMD Ryzen 8645HS,16GB,512GB,66240,14
Asus Expertbook P1 P1403CVA-S60938WS,Asus,13th Intel Core 1315U,16GB,512GB,34990,15
HP Victus 15-fa2382TX,HP,14th Intel Core 14450HX,24GB,512GB,84989,16
HP 15-fd0574TU,HP,13th Intel Core 1315U,16GB,512GB,38990,17
Dell Latitude 3550,Dell,13th Intel Core 1315U,16GB,512GB,35390,18
Samsung Galaxy Book np750xgj-kg2in,Samsung,13th Intel Core i5-1335U,16GB,512GB,49700,19
Lenovo V15 G4 82C70081GE,Lenovo,AMD Ryzen 7520U,16GB,512GB,34490,20
Asus Expertbook P1 P1503CVA-S71042WS,Asus,13th Core,16GB,512GB,57990,21
Asus Vivobook X1605VA-SH1952WS OLED,Asus,13th Core,16GB,512GB,53990,22
Samsung Galaxy Book NP750XGJ-KG3IN,Samsung,Intel Core 1355U,16GB,512GB,56490,23
HP 15-fd1255TU,HP,Intel Core Ultra 125H,16GB,1TB,63990,24
Lenovo IdeaPad Slim 83K100C9IN,Lenovo,13th Core,16GB,512GB,59980,25
Lenovo IdeaPad Slim 83KA004TIN,Lenovo,AMD Ryzen 8840HS,24GB,1TB,66990,26
Lenovo IdeaPad Slim 15IRH10 83K100C6IN,Lenovo,13th Core,16GB,512GB,59190,27
Asus Vivobook 15 X1502VA-BQ1299WS,Asus,13th Core,16GB,1TB,62990,28
15-BS658tx (3FQ15PA),HP,Core i3 6th Gen,8 GB,1 TB,,29
Lenovo Ideapad 330-15IKB (81DE00WRIN),Lenovo,Core i3 8th Gen,4 GB,1 TB,,30
Dell Inspiron 3567 (A561215UIN9),Dell,Core i5 7th Gen,4 GB,1 TB,,31
Asus TUF Gaming F16 FX608JMR-RV049WS,Asus,,,,,32
Asus ROG Strix G16 G614PH-RV033WS,Asus,,,,,33
Dell Inspiron 14 3467 14-ar003tu,Dell,,,,,34
MSI VenturePro AI A1VEG-008IN,MSI,,,,,35
Victus 15-fb3025AX,HP,,,,,36
Acer Aspire 3 A324-53,Acer,,,,,37
Pavilion 15-eh1137AU,HP,,,,,38
MSI Thin B13UCX-1807IN,MSI,,,,,39
MSI Modern B12MO-1007IN,MSI,,,,,40
Dell Inspiron 3530,Dell,,,,,41
Lenovo V15,Lenovo,,,,,42
Asus VivoBook X1504ZA-NJ521WS,Asus,,,,,43
Dell Vostro 3420,Dell,,,,,44
Dell Inspiron 3525,Dell,,,,,45
