Scheme_Name,Sector,Primary_Purpose,Key_Benefits,Target_Beneficiaries,Launch_Year,Expected_Completion,Budget_Outlay
Rashtriya Udyamita Vikas Pariyojana,Skill Development,Entrepreneurship development,Skills and resources for young entrepreneurs,Youth,2024,Ongoing,NA
Pradhan Mantri Janjatiya Unnat Gram Abhiyan,Tribal Affairs,Development of tribal villages,Improved infrastructure and livelihoods in tribal areas,Tribal communities,2024,2026,"7,000 crore"
Vatsalya Scheme,Women & Child Development,Child welfare and protection,Support and care for children in need,Children in need,2024,Ongoing,NA
Purvodaya,Steel,Boosting Eastern India's steel sector,Growth of the steel industry in Eastern India,Steel industry,2024,2030,NA
Pradhan Mantri Surya Ghar Yojana,New & Renewable Energy,Solar energy adoption,Reduced electricity bills and promotion of renewable energy,Residential households,2024,2027,"75,000 crore"
Electric Mobility Promotion Scheme,Heavy Industries,Promotion of electric vehicles,Increased adoption of EVs and reduced pollution,EV manufacturers and buyers,2024,2030,"10,000 crore"
IndiaAI Mission,Technology,Making India a global leader in Artificial Intelligence,"Expanding computing infrastructure, fostering homegrown models, supporting startups","Citizens, startups, researchers",2024,Ongoing,"10,371.92 crore"
IndiaAI Compute Pillar,Technology,Providing high-end GPUs at affordable costs,Affordable access to world-class computing resources,"Researchers, startups",2024,Ongoing,NA
IndiaAI Application Development Initiative,Technology,Developing AI applications for India-specific challenges,"Solutions for healthcare, agriculture, climate change, governance","Citizens, government",2024,Ongoing,NA
AIKosh (Dataset Platform),Technology,Developing large datasets for training AI models,Resources for developers to focus on solutions,"Developers, researchers",2024,Ongoing,NA
IndiaAI Foundation Models,Technology,Developing India's own Large Multimodal Models,Sovereign capability in generative AI,"Startups, researchers",2024,Ongoing,NA
IndiaAI FutureSkills,Skill Development,Building AI-skilled professionals,"Support for PhD fellows, postgraduates, undergraduates","Students, researchers",2024,Ongoing,NA
IndiaAI Startup Financing,Finance,Providing financial support to AI startups,Expansion opportunities for Indian startups,Startups,2024,Ongoing,NA
Safe & Trusted AI,Technology,Ensuring responsible AI adoption,"Focus on machine unlearning, bias mitigation, privacy",General public,2024,Ongoing,NA
Digital ShramSetu Mission,Technology & Labour,Deploying frontier technologies in the informal sector,"Empowering informal workers, overcoming language barriers",Informal workers,2025,2035,NA
Centres of Excellence (CoEs),"Various (Healthcare, Agriculture, Sustainable Cities, Education)",Encouraging research-driven innovation,Collaborative spaces for developing scalable solutions,"Academia, industry, government institutions",2024,Ongoing,NA
IndiaAI Startups Global Acceleration Programme,Entrepreneurship,Supporting Indian startups in accessing global markets,"Access to global expertise, networks, resources",Startups,2024,Ongoing,NA
