Scheme Name,Sector,Primary Purpose,Key Benefits,Target Beneficiaries
e-Agriculture Advancement Initiative,Agriculture,To modernize farming practices through digital technology.,"Improved crop yields, access to real-time market information, reduced costs.",Farmers across India
National Digital Literacy Mission 2.0,Education,To enhance digital literacy among citizens.,"Increased employability, access to online services, digital empowerment.",Citizens in rural and urban areas
Ayushman Bharat Digital Health Mission Expansion,Healthcare,To create a unified digital health ecosystem.,"Improved healthcare access, efficient record-keeping, better patient outcomes.",All Indian citizens
PM Awas Yojana - Rural Housing Enhancement,Housing,To improve the quality of rural housing.,"Durable homes, better sanitation, improved living standards.",Rural families
Renewable Energy for Rural Livelihoods,Energy,To promote the use of renewable energy in rural areas.,"Sustainable energy sources, reduced carbon footprint, new livelihood opportunities.",Rural communities
National Skill Development Program for AI and ML,Skill Development,To equip the youth with skills in Artificial Intelligence and Machine Learning,"Increased employment opportunities in the IT sector, innovation-driven economy",Youth and students
Startup India Seed Fund Extension,Entrepreneurship,To provide financial assistance to early-stage startups,"Growth of the startup ecosystem, job creation, innovation",Startup founders
National Mission on Sustainable Agriculture,Agriculture,To promote sustainable farming practices,"Improved soil health, water conservation, enhanced crop yields",Farmers
Integrated Child Development Services (ICDS) Enhancement,Social Welfare,To improve the health and nutrition of children,"Reduced child mortality, improved cognitive development, better health outcomes",Children under 6 years of age
National Water Mission - Urban Water Security,Water Resources,To ensure water security in urban areas,"Reliable water supply, improved sanitation, reduced waterborne diseases",Urban residents
PM Gram Sadak Yojana - Phase IV,Infrastructure,To improve rural road connectivity,"Better access to markets, healthcare, and education",Rural communities
Digital Payments Incentive Scheme,Finance,To promote the use of digital payments,"Reduced cash transactions, increased transparency, faster payments",Merchants and consumers
National Mission on Clean Ganga - Urban Wastewater Treatment,Environment,To reduce pollution in the Ganga river,"Cleaner water, improved ecosystem health, better public health",Citizens living along the Ganga river
National Food Security Mission - Pulses Enhancement,Food Security,To increase the production of pulses,"Improved food security, reduced dependence on imports, better nutrition",Farmers and consumers
Swachh Bharat Mission - Solid Waste Management,Sanitation,To improve solid waste management in urban areas,"Cleaner cities, reduced pollution, improved public health",Urban residents
National Education Policy Implementation Support,Education,Facilitate the implementation of the National Education Policy 2020,"Improved learning outcomes, enhanced skills, greater access to quality education","Students, teachers, and educational institutions"
National Health Mission - Mental Health Program,Healthcare,Improve access to mental healthcare services,"Reduced stigma, improved mental health, better quality of life",People with mental health issues
PM Kisan Samman Nidhi - Expansion to Landless Laborers,Agriculture,Provide financial assistance to landless agricultural laborers,"Improved livelihoods, reduced poverty, enhanced food security",Landless agricultural laborers
National Urban Livelihoods Mission - Skill Training for Urban Poor,Skill Development,Provide skill training to the urban poor,"Increased employability, improved livelihoods, reduced poverty",Urban poor
National Heritage City Development and Augmentation Yojana (HRIDAY) - Phase II,Tourism,Preserve and enhance the cultural heritage of Indian cities,"Increased tourism, job creation, economic growth",Residents and tourists
