Stock,Symbol,Source,Potential_Catalyst,CMP,52w_High,52w_Low
HDFC Asset Management Company Ltd,HDFCAMC,Chartink,Nearing 200 day high and showing consolidation,5764,,
Invesco India Nifty ETF,IVZINNIFTY,Chartink,Nearing 200 day high and showing consolidation,2867.5,,
HDFC S P BSE Sensex ETF,HDFCSENSEX,Chartink,Nearing 200 day high and showing consolidation,92.61,,
Cipla Limited,CIPLA,Chartink,Nearing 200 day high and showing consolidation,1558.7,,
Hdfc Bank Limited,HDFCBANK,Chartink,Nearing 200 day high and showing consolidation,978.25,,
Indosolar,,Screener,Within 10% of 52w High,676.15,725,165.06
GE Vernova T D,,Screener,Within 10% of 52w High,2927.7,3214.95,1252.85
Multi Comm. Exc.,,Screener,Within 10% of 52w High,9538.35,9590.35,4408.15
Timex Group,,Screener,Within 10% of 52w High,384.7,421,117.9
Avantel,,Screener,Within 10% of 52w High,194.85,215,90.33
SRM Contractors,,Screener,Within 10% of 52w High,564,585,251.5
TD Power Systems,,Screener,Within 10% of 52w High,638.75,659.95,292.85
Chandan Healthca,,Screener,Within 10% of 52w High,296,317.5,140
Tilaknagar Inds.,,Screener,Within 10% of 52w High,476.95,529.9,199.53
HBL Engineering,,Screener,Within 10% of 52w High,899,944.65,404.3
Guj. Themis Bio.,,Screener,Within 10% of 52w High,430,434.25,192.35
Gabriel India,,Screener,Within 10% of 52w High,1294.05,1388,387
Indian Metals,,Screener,Within 10% of 52w High,1198.8,1269,549.8
Sandur Manganese,,Screener,Within 10% of 52w High,231,237.65,112.4
Acutaas Chemical,,Screener,Within 10% of 52w High,1546.2,1564.1,726.62
Sirca Paints,,Screener,Within 10% of 52w High,501.45,513,230.69
Motil.Oswal.Fin.,,Screener,Within 10% of 52w High,1016.55,1064,487.85
Ashapura Minech.,,Screener,Within 10% of 52w High,688.95,712,199.95
Century Extrus.,,Screener,Within 10% of 52w High,31.55,34.8,15.36
G M Breweries,,Screener,Within 10% of 52w High,1158.45,1203.9,579.1
