Disease Name,Pathogen Type,Primary Symptoms,Treatment Methods
Septoria Leaf Spot,Fungal,"Small, circular spots with dark borders and beige center on older leaves. Yellowing and leaf drop.","Crop rotation, sanitation (removal of crop debris), avoid overhead irrigation. Fungicide applications with chlorothalonil or copper fungicide."
Early Blight,Fungal,"Small, brown lesions with concentric rings (bull's-eye pattern) on older foliage. Yellowing around spots. Lesions on stems and fruit.","Resistant cultivars, pathogen-free seed, crop rotation, weed control, proper spacing, mulching, avoid wetting foliage. Fungicides like mancozeb or chlorothalonil."
Late Blight,Water Mold (Oomycete),"Dark, water-soaked spots on leaves, often with white mold on the underside. Rapid defoliation. Shiny, dark lesions on fruit.","Keep foliage dry, destroy volunteer plants, remove diseased plants. Fungicides like chlorothalonil or mancozeb. Plant resistant cultivars."
Fusarium Wilt,Fungal,"Wilting of lower leaves, yellowing, and browning. Dark brown discoloration of water-conducting vessels in the stem.","Pathogen-free soil, disease-free transplants, resistant cultivars. Raising soil pH and using nitrate nitrogen."
Verticillium Wilt,Fungal,"Wilting, yellowing, and death of leaves. Similar to Fusarium wilt. Can cause stunted growth.","Crop rotation, soil solarization, resistant varieties. No chemical control available."
Bacterial Wilt,Bacterial,"Rapid wilting of the plant while leaves stay green. Browning of stem tissue, yellowish ooze when cut.","Rotation with non-susceptible plants (corn, beans, cabbage), remove infected material, disease-free plants. Grafted plants available."
Bacterial Spot,Bacterial,"Small, angular, water-soaked spots on leaves with yellow halo. Raised, scabby spots on fruits.","Disease-free seeds and plants, avoid overhead watering, remove diseased material. Copper fungicide."
Bacterial Speck,Bacterial,"Small, dark spots on leaves and fruit. Yellow tissue around spots. Spots can be raised or sunken.","Copper fungicide during cool, wet weather. Delay planting until warmer, drier conditions."
Anthracnose,Fungal,"Small, circular, indented areas on ripening fruit, developing into darkened centers. Salmon-colored spores may be present.","Disease-free seed, avoid overhead irrigation, plant in sunny site, stake plants. Fungicides containing mancozeb or chlorothalonil."
Leaf Mold,Fungal,"Pale green/yellowish spots on upper leaf surface, with gray, velvety growth on lower surface. Black, leathery stem end on fruit.","Remove crop residue, staking and pruning for air circulation, avoid wetting leaves. Preventative fungicide program with chlorothalonil or mancozeb."
Tomato Pith Necrosis,Bacterial,"Blackened areas on stems, splitting stems, hollow pith. Yellowing of upper leaves, wilting.","Water base of plants, remove diseased plants. Follow fertilization recommendations, 3-year crop rotation."
Southern Blight,Fungal,"Drooping leaves, brown lesions near soil line, white fungal growth with brown sclerotia. Sudden wilt.","Crop rotation with grass crops, removal of plant debris, calcium nitrate, soil fumigation."
Tomato Spotted Wilt Virus (TSWV),Viral,"Stunted plants, bronze spots on leaves, purple veins, yellow spots on fruit.","Eliminating weeds, reflective mulch, remove infected plants. TSWV-resistant cultivars."
Tomato Yellow Leaf Curl Virus (TYLCV),Viral,"Upward curling leaves, yellow leaf margins, smaller leaves, plant stunting, flower drop.","Remove infected plants, control weeds, reflective mulches, horticultural oil sprays. TYLCV-resistant cultivars."
Mosaic Virus,Viral,"Mottling of leaves, malformation of leaflets, shoestring-like shape. Can be transmitted easily.","Remove infected plants, wash hands, eliminate weeds, control insects. Virus-resistant cultivars."
