Disease Name (Common),Scientific Name,Affected Plants,Key Symptoms,Treatment/Prevention
Allium White Rot,,Allium,,
Bean Mosaic Virus,,Bean,,
Bean Powdery Mildew,,Bean,,
Bean Root Rot,,Bean,,
Bean Rust,,Bean,,
Bean White Mold,,Bean,,
Brassica Alternaria Leaf Spot,,Brassica,,
Brassica Black Rot,,Brassica,,
Brassica Downy Mildew,,Brassica,,
Cabbage Soft Rot,,Cabbage,,
Carrot Leaf Blight,,Carrot,,
Carrot Powdery Mildew,,Carrot,,
Carrot Root Knot Nematodes,,Carrot,,
Celery Root Knot Nematodes,,Celery,,
Celery Viruses,,Celery,,
Corn Leaf Blight,,Corn,,
Corn Rust,,Corn,,
Corn Smut,,Corn,,
Corn Viruses,,Corn,,
Cucumber Mosaic Virus,,Cucumber,,
Late Blight,,,,
Lettuce Downy Mildew,,Lettuce,,
Lettuce Leaf Drop,,Lettuce,,
Lettuce Mosaic Virus,,Lettuce,,
Okra Blossom Blight,,Okra,,
Okra Root Knot Nematodes,,Okra,,
Onion Downy Mildew,,Onion,,
Onion Fusarium Basal Rot,,Onion,,
Onion Pink Root,,Onion,,
Parsley Root Rot,,Parsley,,
Pea Enation Virus,,Pea,,
Pea Wilt,,Pea,,
Spinach Blight,,Spinach,,
Spinach Downy Mildew,,Spinach,,
Spinach White Rust,,Spinach,,
Squash Anthracnose,,Squash,,
Squash Bacterial Wilt,,Squash,,
Squash Blossom Blight,,Squash,,
Squash Downy Mildew,,Squash,,
Squash Powdery Mildew,,Squash,,
Tobacco Mosaic Virus,,,,
Tomato Early Blight,,Tomato,,
Tomato Fusarium Wilt,,Tomato,,
Tomato Powdery Mildew,,Tomato,,
Tomato Root Knot Nematodes,,Tomato,,
Tomato Septoria Leaf Spot,,Tomato,,
Tomato Spotted Wilt Virus,,Tomato,,
Verticillium Wilt,,,,
Black Sooty Mold,,,,
Black Spot,,,,
