manufacturer,model,launch_date,ex_showroom_price_inr
Skoda,Octavia RS,"Oct 17, 2025",45 Lakh
Hyundai,Venue 2025,"04, 2025",8 Lakh
Tata,Sierra,"09, 2025",25 Lakh
BMW,iX 2025,"14, 2025",1.45 Cr
Tata,Harrier,2025,25.25 Lakh
Maruti,Brezza 2025,2025,8.50 Lakh
Maruti,Grand Vitara 3-row,2025,14 Lakh
Volkswagen,Tayron,2025,50 Lakh
Hyundai,Tucson 2025,"17, 2025",30 Lakh
MG,Majestor,"18, 2025",46 Lakh
Tata,Sierra EV,"19, 2025",15 Lakh
Mahindra,XUV700 Facelift,"25, 2025",15 Lakh
Maruti,e Vitara,"Dec 10, 2025",17 Lakh
Skoda,Superb 2025,"Dec 13, 2025",50 Lakh
Audi,A5,Dec 2025,50 Lakh
Audi,Q6 e-tron,Dec 2025,1 Cr
Mercedes-Benz,CLA Electric,Dec 2025,65 Lakh
MG,4 EV,Dec 2025,30 Lakh
Nissan,Tekton,"Apr 15, 2026",11.00 Lakh
Hyundai,Venue,"Nov 4, 2025",7.90 Lakh
Mahindra,Bolero 2026,"Mar 18, 2026",10.00 Lakh
Skoda,Octavia RS,"Oct 17, 2025",50.00 Lakh
Renault,Duster,"Mar 18, 2026",12.00 Lakh
Honda,WR-V,"Mar 17, 2026",9.00 Lakh
Hyundai,Palisade,"Mar 24, 2026",40.00 Lakh
Mahindra,XUV700 Facelift,"Jan 14, 2026",15.00 Lakh
Mahindra,Vision S Compact SUV,"Jan 19, 2027",10.50 Lakh
Tata,Sierra EV,"Nov 15, 2025",25.00 Lakh
Tata,Safari,2025,14.66 Lakh
Tata,Punch 2025,2026,6 Lakh
Leapmotor,C10,2026,45 Lakh
Leapmotor,T03,2026,8 Lakh
Mahindra,BE 07,2026,29 Lakh
Mahindra,XEV 4e,2026,13 Lakh
Maruti,WagonR Electric,2026,8.50 Lakh
Tesla,Model 3,2026,60 Lakh
Toyota,3-Row SUV,2026,14 Lakh
Volkswagen,Tera,2026,8 Lakh
Mahindra,Global Pik Up,"16, 2026",25 Lakh
Mahindra,XEV 7e,"26, 2026",35 Lakh
Nissan,Compact MPV,2025,15 Lakh
Hyundai,IONIQ 6,2025,60 Lakh
Maruti,FRONX,2025,7 Lakh
Tata,Punch EV,2025,9 Lakh
MG,Comet EV,2025,10 Lakh
