film_title,primary_language,release_date,production_company,domestic_box_office_collections_INR
Param Sundari,Bollywood,29 Aug 2025,,61.29
Lokah: Chapter 1 Chandra,Bollywood,28 Aug 2025,,182.51
Hridayapoorvam,Mollywood,28 Aug 2025,,47.01
They Call Him OG,Tollywood,2025,,228.4
Coolie,Tamil,2025,,337.5
Saiyaara,Hindi,2025,,398.8
Housefull 5,Hindi,2025,,218.42
Kantara: Legend Chapter-1,Kannada,02 2025,,556.7
Sunny Sanskari Ki Tulsi Kumari,Bollywood,02 2025,,63.65
Idli Kadai,Kollywood,01 2025,,57.5
Jolly LLB,Bollywood,2025,,135.75
Mirai,Tollywood,2025,,111.22
Thudarum,Malayalam,2025,,141.58
L2: Empuraan,Malayalam,2025,,124.56
Sky Force,Hindi,2025,,135.51
Dragon,Tamil,2025,,118.83
Good Bad Ugly,Tamil,2025,,180.75
Game Changer,Telugu,2025,,156.03
Mad Square,Telugu,2025,,58.5
Veera Dheera Sooran,Tamil,2025,,49.36
Raid,Hindi,2025,,206.46
Sitaare Zameen Par,Hindi,2025,,200.77
Mahavatar Narsimha,Hindi,2025,,298.72
Thug Life,Tamil,2025,,56.24
Conjuring: Last Rites,Hollywood,2025,,101.55
