id,name,category,value,description
1,Item 1,Type D,22,Premium
2,Item 2,Type C,417,Standard grade
3,Item 3,Type B,590,Basic
4,Item 4,Type A,484,Professional
5,Item 5,Type D,22,Professional
6,Item 6,Type A,522,Basic
7,Item 7,Type E,688,Professional
8,Item 8,Type D,920,Standard grade
9,Item 9,Type A,32,Basic
10,Item 10,Type D,269,Basic
11,Item 11,Type B,620,Standard grade
12,Item 12,Type C,559,High quality
13,Item 13,Type D,805,Premium
14,Item 14,Type C,510,Premium
15,Item 15,Type A,35,Basic
16,Item 16,Type D,205,High quality
17,Item 17,Type D,394,Professional
18,Item 18,Type A,646,Basic
19,Item 19,Type B,444,Standard grade
20,Item 20,Type A,474,Basic
21,Item 21,Type E,731,High quality
22,Item 22,Type C,448,Basic
23,Item 23,Type D,779,Basic
24,Item 24,Type D,574,High quality
25,Item 25,Type E,49,Standard grade
26,Item 26,Type A,593,Premium
27,Item 27,Type C,947,High quality
28,Item 28,Type D,382,Premium
29,Item 29,Type E,887,High quality
30,Item 30,Type E,276,Standard grade
31,Item 31,Type C,122,Professional
32,Item 32,Type C,330,Professional
33,Item 33,Type C,134,Standard grade
34,Item 34,Type B,251,Basic
35,Item 35,Type B,292,Professional
36,Item 36,Type C,767,High quality
37,Item 37,Type C,191,Basic
38,Item 38,Type D,690,Premium
39,Item 39,Type C,794,Basic
40,Item 40,Type D,612,Professional
41,Item 41,Type C,180,Standard grade
42,Item 42,Type A,406,Standard grade
43,Item 43,Type E,577,Professional
44,Item 44,Type C,749,Basic
45,Item 45,Type E,159,Professional
46,Item 46,Type B,814,Basic
47,Item 47,Type E,418,High quality
48,Item 48,Type B,431,Basic
49,Item 49,Type B,500,High quality
50,Item 50,Type C,814,High quality
51,Item 51,Type D,900,High quality
52,Item 52,Type A,38,Standard grade
53,Item 53,Type E,827,Premium
54,Item 54,Type E,897,High quality
